game_number,game_name,game_file,target_vertices,success,solve_time_seconds,winning_region_t0,winning_region_t10000,error_message
899,game_0899_complex_13,/home/pete/ontime/generated_games/game_0899_complex_13.tg,"s1,s2,s7,s12",True,0.112,s6,"s7,s2,s12,s1",
900,game_0900_complex_7,/home/pete/ontime/generated_games/game_0900_complex_7.tg,"s3,s5",True,0.103,"s2,s0,s3","s3,s5",
901,game_0901_complex_12,/home/pete/ontime/generated_games/game_0901_complex_12.tg,"s5,s8,s11",True,0.112,"s11,s0,s1,s3,s9","s8,s11,s5",
902,game_0902_complex_15,/home/pete/ontime/generated_games/game_0902_complex_15.tg,"s0,s5,s9,s12",True,0.120,"s7,s14,s1,s6,s10,s12,s13,s11,s9,s2,s4,s5,s0","s9,s5,s0,s12",
903,game_0903_complex_6,/home/pete/ontime/generated_games/game_0903_complex_6.tg,"s0,s2",True,0.106,s1,"s0,s2",
904,game_0904_complex_14,/home/pete/ontime/generated_games/game_0904_complex_14.tg,"s10,s13",True,0.106,,"s13,s10",
905,game_0905_complex_10,/home/pete/ontime/generated_games/game_0905_complex_10.tg,"s1,s5,s6,s7,s9",True,0.096,s6,"s9,s5,s7,s1,s6",
906,game_0906_complex_8,/home/pete/ontime/generated_games/game_0906_complex_8.tg,"s2,s5",True,0.103,"s4,s2,s5,s0,s1,s7,s3","s5,s2",
907,game_0907_complex_15,/home/pete/ontime/generated_games/game_0907_complex_15.tg,"s7,s11,s12,s14",True,0.117,"s1,s3,s6,s14,s4,s9,s12,s5,s0,s11,s7,s13","s12,s14,s7,s11",
908,game_0908_complex_11,/home/pete/ontime/generated_games/game_0908_complex_11.tg,"s4,s6,s7,s8,s9",True,0.106,"s1,s9,s5,s4,s8,s0,s7,s10","s7,s6,s8,s4,s9",
909,game_0909_complex_10,/home/pete/ontime/generated_games/game_0909_complex_10.tg,"s3,s8",True,0.106,"s6,s3,s0,s9,s4,s7,s8","s8,s3",
910,game_0910_complex_4,/home/pete/ontime/generated_games/game_0910_complex_4.tg,s3,True,0.100,s3,s3,
911,game_0911_complex_9,/home/pete/ontime/generated_games/game_0911_complex_9.tg,s5,True,0.102,"s8,s5",s5,
912,game_0912_complex_11,/home/pete/ontime/generated_games/game_0912_complex_11.tg,"s0,s8,s10",True,0.126,"s10,s6,s2,s4,s7,s3,s0","s10,s8,s0",
913,game_0913_complex_14,/home/pete/ontime/generated_games/game_0913_complex_14.tg,s6,True,0.116,,s6,
914,game_0914_complex_11,/home/pete/ontime/generated_games/game_0914_complex_11.tg,"s0,s1,s5,s6,s7,s10",True,0.113,"s10,s2,s4,s8,s9,s3,s0,s5,s1","s5,s0,s6,s10,s1,s7",
915,game_0915_complex_4,/home/pete/ontime/generated_games/game_0915_complex_4.tg,,False,0.000,,,No target vertices
916,game_0916_complex_13,/home/pete/ontime/generated_games/game_0916_complex_13.tg,"s6,s7,s10,s11",True,0.116,"s3,s5,s7,s11,s10,s6,s1","s10,s11,s7,s6",
917,game_0917_complex_7,/home/pete/ontime/generated_games/game_0917_complex_7.tg,s0,True,0.103,"s3,s6,s0,s2",s0,
918,game_0918_complex_9,/home/pete/ontime/generated_games/game_0918_complex_9.tg,"s3,s5,s6,s7",True,0.107,"s2,s5,s6,s1","s3,s5,s7,s6",
919,game_0919_complex_5,/home/pete/ontime/generated_games/game_0919_complex_5.tg,"s1,s3",True,0.101,"s0,s3","s1,s3",
920,game_0920_complex_5,/home/pete/ontime/generated_games/game_0920_complex_5.tg,s2,True,0.098,"s2,s3,s4",s2,
921,game_0921_complex_14,/home/pete/ontime/generated_games/game_0921_complex_14.tg,"s7,s11,s13",True,0.111,"s11,s2,s9,s3,s7,s5","s13,s11,s7",
922,game_0922_complex_13,/home/pete/ontime/generated_games/game_0922_complex_13.tg,"s4,s7,s12",True,0.108,"s8,s5,s12,s6,s9,s2,s1,s3","s12,s7,s4",
923,game_0923_complex_13,/home/pete/ontime/generated_games/game_0923_complex_13.tg,"s0,s7",True,0.119,"s7,s4,s5,s3,s6,s0,s10,s12,s9,s1,s8,s11","s7,s0",
924,game_0924_complex_11,/home/pete/ontime/generated_games/game_0924_complex_11.tg,"s4,s6,s9,s10",True,0.108,"s1,s10,s7","s6,s10,s4,s9",
925,game_0925_complex_6,/home/pete/ontime/generated_games/game_0925_complex_6.tg,"s1,s4",True,0.101,"s4,s3,s5,s0","s1,s4",
926,game_0926_complex_9,/home/pete/ontime/generated_games/game_0926_complex_9.tg,"s0,s2,s5,s7,s8",True,0.110,"s4,s3,s1,s6,s8","s0,s8,s2,s5,s7",
927,game_0927_complex_8,/home/pete/ontime/generated_games/game_0927_complex_8.tg,"s2,s4,s5",True,0.105,"s1,s5","s5,s2,s4",
928,game_0928_complex_14,/home/pete/ontime/generated_games/game_0928_complex_14.tg,"s4,s5,s6,s10,s12,s13",True,0.128,,"s5,s10,s12,s6,s4,s13",
929,game_0929_complex_7,/home/pete/ontime/generated_games/game_0929_complex_7.tg,"s3,s4,s6",True,0.103,"s1,s5,s2","s6,s3,s4",
930,game_0930_complex_10,/home/pete/ontime/generated_games/game_0930_complex_10.tg,"s8,s9",True,0.108,"s3,s2,s7,s1,s5,s9","s9,s8",
931,game_0931_complex_4,/home/pete/ontime/generated_games/game_0931_complex_4.tg,"s2,s3",True,0.102,"s2,s0","s3,s2",
932,game_0932_complex_13,/home/pete/ontime/generated_games/game_0932_complex_13.tg,"s3,s6,s10,s11",True,0.132,"s7,s1,s8,s0,s4,s5,s6,s9","s11,s3,s6,s10",
933,game_0933_complex_14,/home/pete/ontime/generated_games/game_0933_complex_14.tg,"s0,s2,s5,s7,s10,s13",True,0.129,"s6,s11,s0,s3,s9,s5,s1,s10,s13,s7,s2,s12,s4,s8","s7,s2,s0,s5,s10,s13",
934,game_0934_complex_4,/home/pete/ontime/generated_games/game_0934_complex_4.tg,"s0,s1,s2,s3",True,0.105,s2,"s1,s3,s0,s2",
